gene_id	geneset
gene:YER018C	Nucleus
gene:YPR166C	Mitochondrion
gene:YDR489W	Nucleus
gene:YMR291W	Cytoplasm
gene:YGL041W-A	Mitochondrion
gene:YER071C	Cytoplasm
gene:YOL121C	Cytoplasm
gene:YJR116W	Membrane
gene:YGR271W	Cytoplasm
gene:YML097C	Cytoplasm
gene:YDL050C	Membrane
gene:YIL082W	Cytoplasm
gene:YLR417W	Cytoplasm
gene:YNR026C	Endoplasmic reticulum membrane
gene:YMR005W	Nucleus
gene:YOL093W	Cytoplasm
gene:YLR442C	Nucleus
gene:YGL213C	Cytoplasm
gene:YLR440C	Endoplasmic reticulum membrane
gene:YPR009W	Nucleus
gene:YPL094C	Endoplasmic reticulum membrane
gene:YLR119W	Cytoplasm
gene:YPR055W	Cytoplasm
gene:YDR186C	Cytoplasm
gene:YHR098C	Cytoplasm
gene:YKL042W	Nucleus
gene:YOR182C	Cytoplasm
gene:YOR307C	Membrane
gene:YDL011C	Membrane
gene:YDL041W	Membrane
gene:YJR127C	Nucleus
gene:YHR084W	Nucleus
gene:YGR185C	Cytoplasm
gene:YDR303C	Nucleus
gene:YNL025C	Nucleus
gene:YCR073W-A	Cytoplasm
gene:YMR183C	Membrane
gene:YLR389C	Membrane
gene:YDL061C	Cytoplasm
gene:YKL178C	Membrane
gene:YJL074C	Nucleus
gene:YKR062W	Nucleus
gene:YER148W-A	Membrane
gene:YER184C	Nucleus
gene:YBR283C	Endoplasmic reticulum membrane
gene:YGR205W	Cytoplasm
gene:YOL034W	Nucleus
gene:YDR406W-A	Membrane
gene:YDR180W	Nucleus
gene:YOR172W	Cytoplasm
gene:YJR133W	Cytoplasm
gene:YDR324C	Nucleus
gene:YDL159C-B	Membrane
gene:YLR277C	Nucleus
